route_id,stop_name,year,delay_duration
Blue,Airport,2020,283428
Blue,Airport,2021,36345
Blue,Airport,2022,5729123
Blue,Airport,2023,83922
Blue,Aquarium,2020,1192
Blue,Aquarium,2021,15838
Blue,Aquarium,2022,5761312
Blue,Aquarium,2023,14913
Blue,Beachmont,2020,40886
Blue,Beachmont,2021,63281
Blue,Beachmont,2022,35056
Blue,Beachmont,2023,17627
Blue,Bowdoin,2020,596
Blue,Bowdoin,2021,7919
Blue,Bowdoin,2022,2862227
Blue,Bowdoin,2023,1060
Blue,Government Center,2020,1192
Blue,Government Center,2021,15838
Blue,Government Center,2022,5719643
Blue,Government Center,2023,9578
Blue,Maverick,2020,243942
Blue,Maverick,2021,39524
Blue,Maverick,2022,5719008
Blue,Maverick,2023,78203
Blue,Orient Heights,2020,45148
Blue,Orient Heights,2021,74219
Blue,Orient Heights,2022,55292
Blue,Orient Heights,2023,89316
Blue,Revere Beach,2020,40886
Blue,Revere Beach,2021,63281
Blue,Revere Beach,2022,35056
Blue,Revere Beach,2023,17627
Blue,State,2020,1192
Blue,State,2021,15838
Blue,State,2022,5721300
Blue,State,2023,9578
Blue,Suffolk Downs,2020,42078
Blue,Suffolk Downs,2021,63281
Blue,Suffolk Downs,2022,35385
Blue,Suffolk Downs,2023,86311
Blue,Wonderland,2020,19395
Blue,Wonderland,2021,32501
Blue,Wonderland,2022,15032
Blue,Wonderland,2023,7646
Blue,Wood Island,2020,42624
Blue,Wood Island,2021,18105
Blue,Wood Island,2022,36158
Blue,Wood Island,2023,83922
Green-B,Allston Street,2020,52915
Green-B,Allston Street,2021,139441
Green-B,Allston Street,2022,130633
Green-B,Allston Street,2023,331333
Green-B,Amory Street,2021,4814
Green-B,Amory Street,2022,70405
Green-B,Amory Street,2023,277813
Green-B,Arlington,2020,609152
Green-B,Arlington,2021,596680
Green-B,Arlington,2022,1768648
Green-B,Arlington,2023,2179868
Green-B,Babcock Street,2021,4814
Green-B,Babcock Street,2022,110020
Green-B,Babcock Street,2023,368603
Green-B,Blandford Street,2020,26123
Green-B,Blandford Street,2021,106491
Green-B,Blandford Street,2022,127781
Green-B,Blandford Street,2023,275490
Green-B,Boston College,2020,20722
Green-B,Boston College,2021,23048
Green-B,Boston College,2022,94573
Green-B,Boston College,2023,176007
Green-B,Boston University Central,2020,26123
Green-B,Boston University Central,2021,106491
Green-B,Boston University Central,2022,70405
Green-B,Boston University Central,2023,279780
Green-B,Boston University East,2020,26123
Green-B,Boston University East,2021,106491
Green-B,Boston University East,2022,70405
Green-B,Boston University East,2023,279780
Green-B,Boylston,2020,609152
Green-B,Boylston,2021,596680
Green-B,Boylston,2022,1750772
Green-B,Boylston,2023,2174776
Green-B,Chestnut Hill Avenue,2020,54828
Green-B,Chestnut Hill Avenue,2021,29892
Green-B,Chestnut Hill Avenue,2022,194049
Green-B,Chestnut Hill Avenue,2023,337570
Green-B,Chiswick Road,2020,54828
Green-B,Chiswick Road,2021,29892
Green-B,Chiswick Road,2022,185878
Green-B,Chiswick Road,2023,337570
Green-B,Copley,2020,584896
Green-B,Copley,2021,603268
Green-B,Copley,2022,1786964
Green-B,Copley,2023,2134008
Green-E,East Somerville,2022,6586
Green-E,East Somerville,2023,268556
Green-D,Eliot,2022,13401
Green-D,Eliot,2023,125579
Green-C,Fairbanks Street,2021,0
Green-C,Fairbanks Street,2022,71377
Green-C,Fairbanks Street,2023,130569
Green-D,Fenway,2021,1858
Green-D,Fenway,2022,36707
Green-D,Fenway,2023,169296
Green-E,Fenwood Road,2022,33647
Green-E,Fenwood Road,2023,18620
Green-E,Gilman Square,2022,6586
Green-E,Gilman Square,2023,268556
Green-B,Government Center,2020,508618
Green-B,Government Center,2021,509608
Green-B,Government Center,2022,1254692
Green-B,Government Center,2023,1869296
