station,line,route,longitude,latitude
Chiswick Road,GREEN,B - Boston College,-71.15095132,42.34061808
Chestnut Hill Avenue,GREEN,B - Boston College,-71.1526553,42.33857777
Reservoir,GREEN,D - Riverside,-71.14837902,42.33513991
Cleveland Circle,GREEN,C - Cleveland Circle,-71.14928663,42.33613671
Englewood Avenue,GREEN,C - Cleveland Circle,-71.14549839,42.3369848
Sutherland Road,GREEN,B - Boston College,-71.1463299,42.3415615
Boston College,GREEN,B - Boston College,-71.16702496,42.34015544
Chestnut Hill,GREEN,D - Riverside,-71.16460873,42.32674178
South Street,GREEN,B - Boston College,-71.15726165,42.33945404
Chelsea,SILVER,SL3,-71.04039298,42.39680217
Bellingham Square,SILVER,SL3,-71.03346704,42.39540239
Maverick,BLUE,Bowdoin to Wonderland,-71.03957976,42.36899298
Airport,SILVER,SL3,-71.02980633,42.37415258
Airport,BLUE,Bowdoin to Wonderland,-71.03022451,42.3743627
Box District,SILVER,SL3,-71.02846598,42.39411671
Wood Island,BLUE,Bowdoin to Wonderland,-71.02291229,42.37964744
Eastern Avenue,SILVER,SL3,-71.02393379,42.3884581
Airport Terminal E,SILVER,SL1,-71.02102932,42.36963804
Airport Terminal A,SILVER,SL1,-71.02115393,42.36472556
Airport Terminal B1,SILVER,SL1,-71.01854354,42.36133965
Airport Terminal B2,SILVER,SL1,-71.01836771,42.36307521
Airport Terminal C,SILVER,SL1,-71.01783244,42.3672363
23 Dry Dock Ave,SILVER,SL2,-71.03039537,42.34468632
27 Dry Dock Ave,SILVER,SL2,-71.02805998,42.34472929
Black Falcon Ave,SILVER,SL2,-71.02721503,42.34417141
88 Black Falcon Ave,SILVER,SL2,-71.02632574,42.34366165
Tide St,SILVER,SL2,-71.03205072,42.3452175
Design Center,SILVER,SL2,-71.03460702,42.34458204
Harbor St,SILVER,SL2,-71.03497769,42.34656002
Northern Ave,SILVER,SL2,-71.03635389,42.34760065
World Trade Center,SILVER,SL1 SL2 SL3,-71.04262948,42.34834152
Silver Line Way,SILVER,SL1 SL2 SL3,-71.03803715,42.34696989
Beaconsfield,GREEN,D - Riverside,-71.14025927,42.33569218
Tappan Street,GREEN,C - Cleveland Circle,-71.13844138,42.33851882
Dean Road,GREEN,C - Cleveland Circle,-71.14195534,42.33771434
Washington Street,GREEN,B - Boston College,-71.14254885,42.34412329
Allston Street,GREEN,B - Boston College,-71.1376368,42.3485761
Warren Street,GREEN,B - Boston College,-71.14024039,42.34862365
Griggs Street,GREEN,B - Boston College,-71.13436463,42.34881951
Fairbanks Street,GREEN,C - Cleveland Circle,-71.13129703,42.33964026
Washington Square,GREEN,C - Cleveland Circle,-71.13536708,42.33932742
Brookline Hills,GREEN,D - Riverside,-71.1267274,42.33129459
Summit Avenue,GREEN,C - Cleveland Circle,-71.12578787,42.34102837
Brandon Hall,GREEN,C - Cleveland Circle,-71.1286572,42.34005364
Harvard Avenue,GREEN,B - Boston College,-71.13100726,42.35041177
Packards Corner,GREEN,B - Boston College,-71.12522583,42.35178581
Babcock Street,GREEN,B - Boston College,-71.11992012,42.35159305
Coolidge Corner,GREEN,C - Cleveland Circle,-71.12129544,42.34214999
Brookline Village,GREEN,D - Riverside,-71.11682794,42.33259466
Saint Paul Street,GREEN,C - Cleveland Circle,-71.11718909,42.34321042
Amory Street,GREEN,B - Boston College,-71.11470751,42.35096617
Kent Street,GREEN,C - Cleveland Circle,-71.11429129,42.34401012
Hawes Street,GREEN,C - Cleveland Circle,-71.1111748,42.34485992
Longwood,GREEN,D - Riverside,-71.10993457,42.34166912
Boston University Central,GREEN,B - Boston College,-71.10703612,42.35004076
Saint Marys Street,GREEN,C - Cleveland Circle,-71.10723956,42.34598737
Mission Park,GREEN,E - Health Street,-71.10958496,42.33317941
Heath Street,GREEN,E - Health Street,-71.11028102,42.32831128
Riverway,GREEN,E - Health Street,-71.11195067,42.33197801
Back Of The Hill,GREEN,E - Health Street,-71.11107041,42.32963825
Brigham Circle,GREEN,E - Health Street,-71.10372419,42.33457105
